Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.733330,5.883330,5.733330,5.883330,0.347170,1501500
1996-01-02,5.883330,5.616670,5.616670,5.616670,0.331434,1500
1996-01-03,5.616670,5.700000,5.603330,5.700000,0.336352,4500
1996-01-04,5.700000,5.600000,5.600000,5.600000,0.330451,1500
1996-01-05,5.600000,5.700000,5.533330,5.700000,0.336352,1438500
1996-01-08,5.700000,5.616670,5.616670,5.616670,0.331434,1500
1996-01-09,5.616670,5.666670,5.600000,5.600000,0.330451,4500
1996-01-10,5.533330,5.533330,5.500000,5.500000,0.324550,9000
1996-01-11,null,null,null,null,null,null
1996-01-12,5.540000,5.540000,5.533330,5.533330,0.326517,3000
1996-01-15,5.533330,5.466670,5.466670,5.466670,0.322583,3000
1996-01-16,5.400000,5.533330,5.400000,5.533330,0.326517,4500
1996-01-17,5.266670,5.266670,5.266670,5.266670,0.310781,1500
1996-01-18,5.266670,5.266670,5.073330,5.266670,0.310781,3000
1996-01-19,5.266670,5.333330,5.216670,5.216670,0.307831,3000
1996-01-22,5.216670,5.200000,5.200000,5.200000,0.306847,3000
1996-01-23,5.266670,5.266670,5.266670,5.266670,0.310781,1500
1996-01-24,5.266670,5.266670,5.200000,5.200000,0.306847,4500
1996-01-25,5.133330,5.133330,5.133330,5.133330,0.302913,1500
1996-01-26,null,null,null,null,null,null
1996-01-29,5.133330,5.133330,5.133330,5.133330,0.302913,1500
1996-01-30,5.133330,5.400000,5.400000,5.400000,0.318649,3000
1996-01-31,5.333330,5.333330,5.200000,5.203330,0.307044,4500
1996-02-01,5.203330,5.400000,5.400000,5.400000,0.318649,4500
1996-02-02,5.400000,5.846670,5.783330,5.846670,0.345006,9000
1996-02-05,5.616670,5.616670,5.616670,5.616670,0.331434,1500
1996-02-06,5.616670,5.683330,5.600000,5.600000,0.330451,4500
1996-02-07,5.600000,5.600000,5.600000,5.600000,0.330451,1500
1996-02-08,5.666670,5.716670,5.666670,5.666670,0.334385,751500
1996-02-09,6.100000,6.466670,6.066670,6.466670,0.381592,24000
1996-02-12,6.533330,7.146670,6.533330,7.146670,0.421718,18000
1996-02-13,7.146670,7.866670,7.133330,7.433330,0.438634,771000
1996-02-14,7.433330,8.216670,7.740000,8.000000,0.472072,118500
1996-02-15,8.000000,8.133330,7.706670,8.000000,0.472072,40500
1996-02-16,8.000000,7.666670,7.370000,7.500000,0.442568,18000
1996-02-19,7.500000,7.650000,7.333330,7.650000,0.451419,48000
1996-02-20,7.650000,7.600000,7.333330,7.490000,0.441978,114000
1996-02-21,null,null,null,null,null,null
1996-02-22,7.490000,7.466670,7.433330,7.466670,0.440601,81000
1996-02-23,7.466670,8.000000,7.403330,7.866670,0.464205,1713000
1996-02-26,7.750000,7.966670,7.740000,7.866670,0.464205,40500
1996-02-27,7.866670,8.133330,7.800000,8.060000,0.475613,130500
1996-02-28,8.060000,7.983330,7.686670,7.686670,0.453583,67500
1996-02-29,7.686670,7.540000,7.066670,7.333330,0.432733,22500
1996-03-01,7.333330,7.666670,7.266670,7.666670,0.452403,51000
1996-03-04,7.666670,8.066670,7.663330,7.950000,0.469122,15033000
1996-03-05,null,null,null,null,null,null
1996-03-06,7.950000,7.816670,7.733330,7.780000,0.459090,45000
1996-03-07,7.780000,7.866670,7.466670,7.683330,0.453386,45000
1996-03-08,7.683330,7.666670,7.500000,7.666670,0.452403,18000
1996-03-11,7.600000,7.600000,7.533330,7.533330,0.444535,12000
1996-03-12,7.533330,7.596670,7.200000,7.340000,0.433126,100500
1996-03-13,7.340000,7.470000,7.460000,7.470000,0.440798,10500
1996-03-14,7.470000,7.566670,7.466670,7.533330,0.444535,10500
1996-03-15,7.533330,7.600000,7.566670,7.596670,0.448272,67500
1996-03-18,7.596670,7.343330,7.343330,7.343330,0.433323,1500
1996-03-19,7.343330,7.400000,7.216670,7.400000,0.436667,36000
1996-03-20,null,null,null,null,null,null
1996-03-21,7.400000,7.333330,7.333330,7.333330,0.432733,1500
1996-03-22,7.333330,7.726670,7.333330,7.723330,0.455746,40500
1996-03-25,7.723330,7.700000,7.586670,7.666670,0.452403,69000
1996-03-26,7.666670,7.866670,7.670000,7.866670,0.464205,88500
1996-03-27,7.866670,8.000000,7.843330,7.910000,0.466762,247500
1996-03-28,7.910000,8.666670,8.063330,8.440000,0.498036,1524000
1996-03-29,8.440000,8.403330,8.033330,8.043330,0.474629,397500
1996-04-01,8.043330,8.333330,8.200000,8.253330,0.487021,3781500
1996-04-02,8.263330,9.063330,8.100000,8.770000,0.517509,666000
1996-04-03,9.466670,9.666670,9.233330,9.356670,0.552128,547500
1996-04-04,9.800000,9.800000,9.166670,9.366670,0.552718,2467500
1996-04-05,null,null,null,null,null,null
1996-04-08,10.133300,10.326700,9.983330,10.190000,0.601302,354000
1996-04-09,10.190000,10.523300,9.800000,10.133300,0.597956,697500
1996-04-10,10.133300,10.253300,9.953330,10.050000,0.593041,106500
1996-04-11,10.050000,10.200000,10.000000,10.160000,0.599532,142500
1996-04-12,10.160000,10.366700,10.166700,10.223300,0.603267,111000
1996-04-15,10.223300,10.430000,10.266700,10.266700,0.605828,66000
1996-04-16,10.266700,10.513300,10.230000,10.406700,0.614089,315000
1996-04-17,10.406700,10.666700,10.333300,10.400000,0.613694,42000
1996-04-18,10.400000,10.800000,10.533300,10.600000,0.625496,76500
1996-04-19,11.400000,11.400000,10.550000,10.593300,0.625100,105000
1996-04-22,10.593300,10.990000,10.133300,10.533300,0.621560,91500
1996-04-23,10.533300,10.883300,10.336700,10.840000,0.639658,150000
1996-04-24,10.840000,11.533300,10.933300,11.496700,0.678409,276000
1996-04-25,11.496700,11.800000,11.233300,11.250000,0.663852,193500
1996-04-26,11.250000,11.793300,11.273300,11.743300,0.692961,90000
1996-04-29,11.743300,11.600000,11.480000,11.556700,0.681950,60000
1996-04-30,11.556700,12.133300,11.336700,11.986700,0.707324,240000
1996-05-01,11.986700,12.246700,11.950000,12.093300,0.713614,85500
1996-05-02,12.093300,12.466700,11.986700,12.330000,0.727582,201000
1996-05-03,12.330000,12.600000,12.400000,12.460000,0.735253,100500
1996-05-06,12.460000,12.233300,11.866700,12.093300,0.713614,109500
1996-05-07,12.093300,12.333300,11.866700,12.313300,0.726596,133500
1996-05-08,12.313300,12.733300,11.833300,12.413300,0.732497,262500
1996-05-09,12.413300,12.633300,12.136700,12.243300,0.722466,819000
1996-05-10,12.243300,12.266700,11.733300,12.080000,0.712829,171000
1996-05-13,12.080000,12.400000,12.000000,12.400000,0.731712,70500
1996-05-14,12.400000,12.800000,12.366700,12.670000,0.747645,268500
1996-05-15,12.670000,12.683300,11.950000,12.410000,0.732302,96000
1996-05-16,12.410000,12.666700,12.400000,12.583300,0.742528,118500
1996-05-17,12.583300,12.600000,12.356700,12.533300,0.739578,34500
1996-05-20,11.666700,12.450000,11.666700,12.446700,0.734468,27000
1996-05-21,12.446700,12.443300,12.283300,12.373300,0.730137,90000
1996-05-22,12.373300,12.433300,12.200000,12.300000,0.725811,34500
1996-05-23,12.300000,12.200000,12.066700,12.133300,0.715974,24000
1996-05-24,12.133300,12.633300,12.203300,12.350000,0.728762,48000
1996-05-27,12.350000,12.333300,12.033300,12.100000,0.714010,25500
1996-05-28,12.100000,12.000000,11.736700,11.800000,0.696307,58500
1996-05-29,11.800000,12.133300,11.900000,12.100000,0.714010,100500
1996-05-30,12.100000,12.326700,12.066700,12.116700,0.714995,54000
